star_time,end_time,mem_used,
10 Oct 15:34:00.043,10 Oct 15:34:00.145,6MB
10 Oct 15:52:07.274,10 Oct 15:52:07.476,6MB
10 Oct 16:03:30.839,10 Oct 16:03:30.940,4MB
10 Oct 16:08:31.025,10 Oct 16:08:31.127,4MB
10 Oct 16:13:32.072,10 Oct 16:13:32.177,4MB
10 Oct 16:18:33.022,10 Oct 16:18:33.425,6MB
10 Oct 16:23:34.047,10 Oct 16:23:34.148,6MB
10 Oct 16:28:35.001,10 Oct 16:28:35.104,4MB
10 Oct 16:33:36.050,10 Oct 16:33:36.353,4MB
10 Oct 16:38:37.067,10 Oct 16:38:37.269,4MB
10 Oct 16:43:38.017,10 Oct 16:43:38.119,4MB
10 Oct 16:48:39.053,10 Oct 16:48:39.155,4MB
10 Oct 16:53:40.096,10 Oct 16:53:40.299,4MB
10 Oct 16:58:41.034,10 Oct 16:58:41.137,4MB
10 Oct 17:03:42.068,10 Oct 17:03:42.170,4MB
10 Oct 17:08:43.019,10 Oct 17:08:43.223,4MB
10 Oct 17:13:44.047,10 Oct 17:13:44.253,4MB
10 Oct 17:18:45.033,10 Oct 17:18:45.236,4MB
10 Oct 17:23:46.079,10 Oct 17:23:46.282,4MB
10 Oct 17:28:47.031,10 Oct 17:28:47.133,4MB
10 Oct 17:33:48.068,10 Oct 17:33:48.170,4MB
10 Oct 17:38:49.018,10 Oct 17:38:49.120,4MB
10 Oct 17:43:50.063,10 Oct 17:43:50.165,4MB
10 Oct 17:48:51.028,10 Oct 17:48:53.236,5MB
10 Oct 17:53:54.070,10 Oct 17:53:54.272,4MB
10 Oct 17:58:55.036,10 Oct 17:58:57.948,5MB
10 Oct 18:03:58.093,10 Oct 18:04:01.505,5MB
10 Oct 18:09:02.034,10 Oct 18:09:02.238,4MB
10 Oct 18:14:03.094,10 Oct 18:14:05.402,5MB
10 Oct 18:19:06.045,10 Oct 18:19:06.649,5MB
10 Oct 18:24:07.090,10 Oct 18:24:07.193,4MB
10 Oct 18:29:08.031,10 Oct 18:29:08.234,4MB
10 Oct 18:34:09.057,10 Oct 18:34:09.160,4MB
10 Oct 18:39:10.086,10 Oct 18:39:10.189,4MB
10 Oct 18:44:11.020,10 Oct 18:44:11.223,4MB
10 Oct 18:49:12.074,10 Oct 18:49:12.277,4MB
10 Oct 18:54:13.044,10 Oct 18:54:13.146,4MB
10 Oct 18:59:14.097,10 Oct 18:59:15.109,5MB
10 Oct 19:04:16.056,10 Oct 19:04:16.158,4MB
10 Oct 19:09:17.018,10 Oct 19:09:17.119,4MB
10 Oct 19:14:18.047,10 Oct 19:14:18.149,4MB
10 Oct 19:19:19.087,10 Oct 19:19:19.289,4MB
10 Oct 19:24:20.033,10 Oct 19:24:20.136,4MB
10 Oct 19:29:21.035,10 Oct 19:29:21.137,4MB
10 Oct 19:34:22.034,10 Oct 19:34:22.136,4MB
10 Oct 19:39:23.069,10 Oct 19:39:23.171,4MB
10 Oct 19:44:24.008,10 Oct 19:44:24.311,4MB
10 Oct 19:49:25.080,10 Oct 19:49:25.383,4MB
10 Oct 19:54:26.040,10 Oct 19:54:26.143,4MB
10 Oct 19:59:27.016,10 Oct 19:59:27.218,4MB
10 Oct 20:04:28.074,10 Oct 20:04:28.277,4MB
10 Oct 20:09:29.022,10 Oct 20:09:29.224,4MB
10 Oct 20:14:30.089,10 Oct 20:14:30.192,4MB
10 Oct 20:19:31.057,10 Oct 20:19:31.260,4MB
10 Oct 20:24:32.032,10 Oct 20:24:32.134,4MB
10 Oct 20:29:33.095,10 Oct 20:29:33.206,4MB
10 Oct 20:34:34.059,10 Oct 20:34:34.260,2MB
10 Oct 20:39:35.006,10 Oct 20:39:35.207,2MB
10 Oct 20:44:36.038,10 Oct 20:44:36.139,2MB
10 Oct 20:49:37.082,10 Oct 20:49:37.183,2MB
10 Oct 20:54:38.035,10 Oct 20:54:38.136,2MB
10 Oct 20:59:39.073,10 Oct 20:59:39.174,2MB
10 Oct 21:04:40.028,10 Oct 21:04:40.129,2MB
10 Oct 21:09:41.094,10 Oct 21:09:41.295,2MB
10 Oct 21:14:42.037,10 Oct 21:14:42.338,2MB
10 Oct 21:19:43.068,10 Oct 21:19:43.270,2MB
10 Oct 21:24:44.094,10 Oct 21:24:45.198,3MB
10 Oct 21:29:46.080,10 Oct 21:29:46.280,2MB
10 Oct 21:34:47.098,10 Oct 21:34:47.199,2MB
10 Oct 21:39:48.073,10 Oct 21:39:48.174,2MB
10 Oct 21:44:49.035,10 Oct 21:44:49.136,2MB
10 Oct 21:49:50.080,10 Oct 21:50:02.820,3MB
10 Oct 21:55:03.006,10 Oct 21:55:03.207,2MB
10 Oct 22:00:04.017,10 Oct 22:00:04.118,2MB
10 Oct 22:05:05.089,10 Oct 22:05:05.290,2MB
10 Oct 22:10:06.056,10 Oct 22:10:06.156,2MB
10 Oct 22:15:07.042,10 Oct 22:15:07.243,2MB
10 Oct 22:20:08.018,10 Oct 22:20:08.119,2MB
10 Oct 22:25:09.071,10 Oct 22:25:09.272,2MB
10 Oct 22:30:10.030,10 Oct 22:30:10.231,2MB
