time,levle,msg,
2015-10-11 13:52:44,[Warning],Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead.,
2015-10-11 13:52:44,[Warning],TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).,
2015-10-11 13:52:51,[Warning],InnoDB: New log files created, LSN=45781,
2015-10-11 13:52:52,[Warning],InnoDB: Creating foreign key constraint system tables.,
2015-10-11 13:53:10,[Warning],Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead.,
2015-10-11 13:53:10,[Warning],TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).,
2015-10-11 13:53:14,[Warning],Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead.,
2015-10-11 13:53:14,[Warning],TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).,
2015-10-11 13:53:14,[Warning],WSREP: Could not open state file for reading: '/var/lib/mysql//grastate.dat',
2015-10-11 13:53:14,[Warning],WSREP: access file(/var/lib/mysql//gvwstate.dat) failed(No such file or directory),
2015-10-11 13:53:15,[Warning],WSREP: Gap in state sequence. Need state transfer.,
2015-10-11 13:53:16,[Warning],WSREP: last inactive check more than PT1.5S ago (PT1.50411S), skipping check,
2015-10-11 13:53:16,[Warning],WSREP: Failed to prepare for incremental state transfer: Local state UUID (00000000-0000-0000-0000-000000000000) does not match group state UUID (4978caf1-701f-11e5-868f-2fae4ed227eb): 1 (Operation not permitted),
2015-10-11 13:53:17,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:18,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:19,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:20,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:21,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:22,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:23,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:24,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:25,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:26,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:27,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:28,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:29,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:30,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
2015-10-11 13:53:31,[Warning],WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable,
