time,levle,msg
2015-10-19 13:24:06,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-19 13:24:06,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-19 13:24:15,[Warning],"InnoDB: New log files created, LSN=45781"
2015-10-19 13:24:16,[Warning],"InnoDB: Creating foreign key constraint system tables."
2015-10-19 13:24:28,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-19 13:24:28,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-19 13:24:31,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-19 13:24:31,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-19 13:24:31,[Warning],"WSREP: Could not open state file for reading: '/var/lib/mysql//grastate.dat'"
2015-10-19 13:24:31,[Warning],"WSREP: access file(/var/lib/mysql//gvwstate.dat) failed(No such file or directory)"
2015-10-19 13:24:32,[Warning],"Using unique option prefix myisam-recover instead of myisam-recover-options is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-19 13:24:32,[Warning],"No existing UUID has been found, so we assume that this is the first time that this server has been started. Generating a new UUID: bba497b8-7664-11e5-88fa-0242ac111a17."
2015-10-19 13:25:27,[Warning],"IP address '172.17.26.1' could not be resolved: Name or service not known"
2015-10-19 13:25:35,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:36,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:37,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:38,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:39,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:40,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:41,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:42,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:43,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:44,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:45,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:45,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:25:46,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:25:46,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:47,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:48,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:49,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:26:26,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:26:31,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:26:31,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:26:32,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:26:32,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:27:40,[Warning],"IP address '172.17.53.0' could not be resolved: Name or service not known"
2015-10-19 13:30:03,[Warning],"IP address '172.17.18.0' could not be resolved: Name or service not known"
2015-10-19 13:30:44,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:44,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:44,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:44,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:44,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:45,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:46,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:46,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:46,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:46,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:46,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:47,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:47,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:47,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:47,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:48,[ERROR],"mysqld: The table 'messages' is full"
