start_time,end_time,mem_used
19 Oct 13:32:54.000,19 Oct 13:32:54.302,4MB
19 Oct 13:37:55.082,19 Oct 13:37:55.187,4MB
19 Oct 13:42:56.059,19 Oct 13:42:56.162,2MB
19 Oct 13:47:57.032,19 Oct 13:47:57.233,0MB
19 Oct 13:52:58.037,19 Oct 13:52:58.243,0MB
19 Oct 13:57:59.092,19 Oct 13:57:59.193,0MB
19 Oct 14:03:00.011,19 Oct 14:03:00.112,0MB
19 Oct 14:08:01.061,19 Oct 14:08:01.362,0MB
19 Oct 14:13:02.100,19 Oct 14:13:02.302,0MB
19 Oct 14:18:03.038,19 Oct 14:18:03.240,0MB
19 Oct 14:23:04.030,19 Oct 14:23:04.131,0MB
19 Oct 14:28:05.067,19 Oct 14:28:05.168,0MB
19 Oct 14:33:06.018,19 Oct 14:33:06.219,0MB
19 Oct 14:38:07.052,19 Oct 14:38:07.253,0MB
19 Oct 14:43:08.067,19 Oct 14:43:08.168,0MB
19 Oct 14:48:09.030,19 Oct 14:48:09.231,0MB
19 Oct 14:53:10.009,19 Oct 14:53:10.111,0MB
19 Oct 14:58:11.002,19 Oct 14:58:11.203,0MB
19 Oct 15:03:12.073,19 Oct 15:03:12.275,0MB
19 Oct 15:08:13.064,19 Oct 15:08:13.165,0MB
19 Oct 15:13:14.023,19 Oct 15:13:14.224,0MB
19 Oct 15:18:15.004,19 Oct 15:18:15.306,0MB
19 Oct 15:23:16.001,19 Oct 15:23:16.202,0MB
19 Oct 15:28:17.006,19 Oct 15:28:17.107,0MB
19 Oct 15:33:18.008,19 Oct 15:33:18.209,0MB
19 Oct 15:38:19.063,19 Oct 15:38:19.164,0MB
19 Oct 15:43:20.069,19 Oct 15:43:20.471,0MB
19 Oct 15:48:21.077,19 Oct 15:48:21.178,0MB
19 Oct 15:53:22.080,19 Oct 15:53:22.181,0MB
19 Oct 15:58:23.006,19 Oct 15:58:23.207,0MB
19 Oct 16:03:24.079,19 Oct 16:03:24.280,0MB
19 Oct 16:08:25.091,19 Oct 16:08:25.192,0MB
19 Oct 16:13:26.068,19 Oct 16:13:26.269,0MB
19 Oct 16:18:27.032,19 Oct 16:18:27.133,0MB
19 Oct 16:23:28.027,19 Oct 16:23:28.128,0MB
19 Oct 16:28:29.089,19 Oct 16:28:29.290,0MB
19 Oct 16:33:30.004,19 Oct 16:33:30.105,0MB
19 Oct 16:38:31.071,19 Oct 16:38:31.273,0MB
19 Oct 16:43:32.014,19 Oct 16:43:32.216,0MB
19 Oct 16:48:33.014,19 Oct 16:48:33.115,0MB
19 Oct 16:53:34.089,19 Oct 16:53:34.190,0MB
19 Oct 16:58:35.035,19 Oct 16:58:35.136,0MB
19 Oct 17:03:36.024,19 Oct 17:03:36.225,0MB
19 Oct 17:08:37.043,19 Oct 17:08:37.144,0MB
19 Oct 17:13:38.028,19 Oct 17:13:38.129,0MB
19 Oct 17:18:39.099,19 Oct 17:18:39.200,0MB
19 Oct 17:23:40.007,19 Oct 17:23:40.208,0MB
19 Oct 17:28:41.075,19 Oct 17:28:41.276,0MB
19 Oct 17:33:42.010,19 Oct 17:33:42.212,0MB
19 Oct 17:38:43.017,19 Oct 17:38:43.118,0MB
19 Oct 17:43:44.090,19 Oct 17:43:44.192,0MB
19 Oct 17:48:45.006,19 Oct 17:48:45.207,0MB
19 Oct 17:53:46.057,19 Oct 17:53:46.259,0MB
19 Oct 17:58:47.032,19 Oct 17:58:47.133,0MB
19 Oct 18:03:48.046,19 Oct 18:03:48.147,0MB
19 Oct 18:08:49.060,19 Oct 18:08:49.160,0MB
19 Oct 18:13:50.091,19 Oct 18:13:50.192,0MB
19 Oct 18:18:51.091,19 Oct 18:18:51.192,0MB
19 Oct 18:23:52.024,19 Oct 18:23:52.225,0MB
19 Oct 18:28:53.099,19 Oct 18:28:53.302,0MB
19 Oct 18:33:54.070,19 Oct 18:33:54.171,0MB
19 Oct 18:38:55.016,19 Oct 18:38:55.217,0MB
19 Oct 18:43:56.095,19 Oct 18:43:56.195,0MB
19 Oct 18:48:57.057,19 Oct 18:48:57.158,0MB
19 Oct 18:53:58.062,19 Oct 18:53:58.163,0MB
19 Oct 18:58:59.081,19 Oct 18:58:59.182,0MB
19 Oct 19:04:00.064,19 Oct 19:04:00.566,0MB
19 Oct 19:09:01.095,19 Oct 19:09:01.296,0MB
19 Oct 19:14:02.097,19 Oct 19:14:02.198,0MB
19 Oct 19:19:03.046,19 Oct 19:19:03.247,0MB
19 Oct 19:24:04.077,19 Oct 19:24:04.178,0MB
19 Oct 19:29:05.061,19 Oct 19:29:05.162,0MB
19 Oct 19:34:06.061,19 Oct 19:34:06.162,0MB
19 Oct 19:39:07.082,19 Oct 19:39:07.183,0MB
19 Oct 19:44:08.086,19 Oct 19:44:08.187,0MB
19 Oct 19:49:09.072,19 Oct 19:49:09.273,0MB
19 Oct 19:54:10.086,19 Oct 19:54:10.288,0MB
19 Oct 19:59:11.096,19 Oct 19:59:11.297,0MB
19 Oct 20:04:12.001,19 Oct 20:04:12.102,0MB
19 Oct 20:09:13.097,19 Oct 20:09:13.299,0MB
19 Oct 20:14:14.067,19 Oct 20:14:14.168,0MB
19 Oct 20:19:15.013,19 Oct 20:19:15.216,0MB
19 Oct 20:24:16.063,19 Oct 20:24:16.366,0MB
19 Oct 20:29:17.059,19 Oct 20:29:17.160,0MB
19 Oct 20:34:18.007,19 Oct 20:34:18.108,0MB
19 Oct 20:39:19.051,19 Oct 20:39:19.151,0MB
19 Oct 20:44:20.076,19 Oct 20:44:20.176,0MB
19 Oct 20:49:21.093,19 Oct 20:49:21.296,0MB
19 Oct 20:54:22.020,19 Oct 20:54:22.121,0MB
19 Oct 20:59:23.079,19 Oct 20:59:23.280,0MB
19 Oct 21:04:24.007,19 Oct 21:04:24.108,0MB
19 Oct 21:09:25.029,19 Oct 21:09:25.130,0MB
19 Oct 21:14:26.078,19 Oct 21:14:26.280,0MB
19 Oct 21:19:27.054,19 Oct 21:19:27.256,0MB
19 Oct 21:24:28.058,19 Oct 21:24:28.159,0MB
19 Oct 21:29:29.072,19 Oct 21:29:29.272,0MB
19 Oct 21:34:30.014,19 Oct 21:34:30.115,0MB
19 Oct 21:39:31.019,19 Oct 21:39:31.119,0MB
19 Oct 21:44:32.092,19 Oct 21:44:32.194,0MB
19 Oct 21:49:33.009,19 Oct 21:49:33.110,0MB
19 Oct 21:54:34.063,19 Oct 21:54:34.365,0MB
19 Oct 21:59:35.003,19 Oct 21:59:35.303,0MB
19 Oct 22:04:36.034,19 Oct 22:04:36.135,0MB
19 Oct 22:09:37.085,19 Oct 22:09:37.186,0MB
19 Oct 22:14:38.019,19 Oct 22:14:38.220,0MB
19 Oct 22:19:39.036,19 Oct 22:19:39.237,0MB
19 Oct 22:24:40.075,19 Oct 22:24:40.285,0MB
19 Oct 22:29:41.020,19 Oct 22:29:41.322,0MB
19 Oct 22:34:42.061,19 Oct 22:34:42.162,0MB
19 Oct 22:39:43.032,19 Oct 22:39:43.234,0MB
19 Oct 22:44:44.031,19 Oct 22:44:44.232,0MB
19 Oct 22:49:45.092,19 Oct 22:49:45.293,0MB
19 Oct 22:54:46.013,19 Oct 22:54:46.215,0MB
19 Oct 22:59:47.057,19 Oct 22:59:47.158,0MB
19 Oct 23:04:48.044,19 Oct 23:04:48.146,0MB
19 Oct 23:09:49.035,19 Oct 23:09:49.136,0MB
19 Oct 23:14:50.057,19 Oct 23:14:50.760,1MB
19 Oct 23:19:51.092,19 Oct 23:19:51.193,0MB
19 Oct 23:24:52.041,19 Oct 23:24:52.243,0MB
19 Oct 23:29:53.067,19 Oct 23:29:53.168,0MB
19 Oct 23:34:54.090,19 Oct 23:34:54.191,0MB
19 Oct 23:39:55.067,19 Oct 23:39:55.168,0MB
19 Oct 23:44:56.016,19 Oct 23:44:56.117,0MB
19 Oct 23:49:57.076,19 Oct 23:49:57.277,0MB
19 Oct 23:54:58.093,19 Oct 23:54:58.295,0MB
19 Oct 23:59:59.084,19 Oct 23:59:59.185,0MB
20 Oct 00:05:00.043,20 Oct 00:05:00.245,0MB
20 Oct 00:10:01.090,20 Oct 00:10:01.291,0MB
20 Oct 00:15:02.019,20 Oct 00:15:02.219,0MB
20 Oct 00:20:03.059,20 Oct 00:20:03.260,0MB
20 Oct 00:25:04.058,20 Oct 00:25:04.260,0MB
20 Oct 00:30:05.037,20 Oct 00:30:05.137,0MB
20 Oct 00:35:06.068,20 Oct 00:35:06.270,0MB
20 Oct 00:40:07.076,20 Oct 00:40:07.177,0MB
20 Oct 00:45:08.005,20 Oct 00:45:08.106,0MB
20 Oct 00:50:09.028,20 Oct 00:50:09.129,0MB
20 Oct 00:55:10.034,20 Oct 00:55:10.135,0MB
20 Oct 01:00:11.080,20 Oct 01:00:11.180,0MB
20 Oct 01:05:12.084,20 Oct 01:05:12.185,0MB
20 Oct 01:10:13.016,20 Oct 01:10:13.217,0MB
20 Oct 01:15:14.002,20 Oct 01:15:14.103,0MB
20 Oct 01:20:15.090,20 Oct 01:20:15.191,0MB
20 Oct 01:25:16.011,20 Oct 01:25:16.212,0MB
20 Oct 01:30:17.086,20 Oct 01:30:17.187,0MB
20 Oct 01:35:18.021,20 Oct 01:35:18.222,0MB
20 Oct 01:40:19.080,20 Oct 01:40:19.181,0MB
20 Oct 01:45:20.052,20 Oct 01:45:20.253,0MB
20 Oct 01:50:21.040,20 Oct 01:50:21.240,0MB
20 Oct 01:55:22.091,20 Oct 01:55:22.294,0MB
20 Oct 02:00:23.064,20 Oct 02:00:23.266,0MB
20 Oct 02:05:24.072,20 Oct 02:05:24.374,0MB
20 Oct 02:10:25.081,20 Oct 02:10:25.282,0MB
20 Oct 02:15:26.032,20 Oct 02:15:26.133,0MB
20 Oct 02:20:27.070,20 Oct 02:20:27.271,0MB
20 Oct 02:25:28.067,20 Oct 02:25:28.268,0MB
20 Oct 02:30:29.061,20 Oct 02:30:29.263,0MB
20 Oct 02:35:30.057,20 Oct 02:35:30.158,0MB
20 Oct 02:40:31.072,20 Oct 02:40:31.173,0MB
20 Oct 02:45:32.080,20 Oct 02:45:32.381,0MB
20 Oct 02:50:33.054,20 Oct 02:50:33.155,0MB
20 Oct 02:55:34.095,20 Oct 02:55:34.196,0MB
20 Oct 03:00:35.065,20 Oct 03:00:35.166,0MB
20 Oct 03:05:36.085,20 Oct 03:05:36.186,0MB
20 Oct 03:10:37.061,20 Oct 03:10:37.162,0MB
20 Oct 03:15:38.079,20 Oct 03:15:38.180,0MB
20 Oct 03:20:39.028,20 Oct 03:20:39.129,0MB
20 Oct 03:25:40.094,20 Oct 03:25:40.295,0MB
20 Oct 03:30:41.093,20 Oct 03:30:41.193,0MB
20 Oct 03:35:42.072,20 Oct 03:35:42.273,0MB
20 Oct 03:40:43.095,20 Oct 03:40:43.296,0MB
20 Oct 03:45:44.082,20 Oct 03:45:44.182,0MB
20 Oct 03:50:45.011,20 Oct 03:50:45.212,0MB
20 Oct 03:55:46.070,20 Oct 03:55:46.171,0MB
20 Oct 04:00:47.037,20 Oct 04:00:47.137,0MB
20 Oct 04:05:48.083,20 Oct 04:05:48.184,0MB
