time,ip,pod,container
[Mon Oct 19 13:28:51 UTC 2015],10.62.98.244,pressurer-4q39x,pressurer
[Mon Oct 19 13:28:51 UTC 2015],10.62.98.244,pxc-node3,pxc-node3
[Mon Oct 19 13:28:51 UTC 2015],10.62.98.253,pressurer-rgij3,pressurer
[Mon Oct 19 13:28:51 UTC 2015],10.62.98.253,pxc-node2,pxc-node2
[Mon Oct 19 13:28:51 UTC 2015],10.62.98.250,pressurer-pub1y,pressurer
[Mon Oct 19 13:28:51 UTC 2015],10.62.98.250,pxc-node1,pxc-node1
[Mon Oct 19 13:29:01 UTC 2015],10.62.98.244,pressurer-4q39x,pressurer
[Mon Oct 19 13:29:01 UTC 2015],10.62.98.244,pxc-node3,pxc-node3
[Mon Oct 19 13:29:01 UTC 2015],10.62.98.253,pressurer-rgij3,pressurer
[Mon Oct 19 13:29:01 UTC 2015],10.62.98.253,pxc-node2,pxc-node2
[Mon Oct 19 13:29:01 UTC 2015],10.62.98.250,pressurer-pub1y,pressurer
[Mon Oct 19 13:29:01 UTC 2015],10.62.98.250,pxc-node1,pxc-node1
[Mon Oct 19 13:29:11 UTC 2015],10.62.98.244,pressurer-4q39x,pressurer
[Mon Oct 19 13:29:11 UTC 2015],10.62.98.244,pxc-node3,pxc-node3
[Mon Oct 19 13:29:11 UTC 2015],10.62.98.253,pressurer-rgij3,pressurer
[Mon Oct 19 13:29:11 UTC 2015],10.62.98.253,pxc-node2,pxc-node2
[Mon Oct 19 13:29:11 UTC 2015],10.62.98.250,pressurer-pub1y,pressurer
[Mon Oct 19 13:29:12 UTC 2015],10.62.98.250,pxc-node1,pxc-node1
[Mon Oct 19 13:29:21 UTC 2015],10.62.98.250,pxc-node1,pxc-node1
[Mon Oct 19 13:29:21 UTC 2015],10.62.98.244,pressurer-4q39x,pressurer
[Mon Oct 19 13:29:21 UTC 2015],10.62.98.244,pxc-node3,pxc-node3
[Mon Oct 19 13:29:21 UTC 2015],10.62.98.253,pressurer-rgij3,pressurer
[Mon Oct 19 13:29:21 UTC 2015],10.62.98.253,pxc-node2,pxc-node2
[Mon Oct 19 13:29:22 UTC 2015],10.62.98.250,pressurer-pub1y,pressurer
[Mon Oct 19 13:29:31 UTC 2015],10.62.98.250,pressurer-pub1y,pressurer
[Mon Oct 19 13:29:31 UTC 2015],10.62.98.250,pxc-node1,pxc-node1
[Mon Oct 19 13:29:31 UTC 2015],10.62.98.244,pressurer-4q39x,pressurer
[Mon Oct 19 13:29:31 UTC 2015],10.62.98.244,pxc-node3,pxc-node3
[Mon Oct 19 13:29:31 UTC 2015],10.62.98.253,pressurer-rgij3,pressurer
[Mon Oct 19 13:29:31 UTC 2015],10.62.98.253,pxc-node2,pxc-node2
[Mon Oct 19 13:29:41 UTC 2015],10.62.98.250,pressurer-pub1y,pressurer
[Mon Oct 19 13:29:41 UTC 2015],10.62.98.250,pxc-node1,pxc-node1
[Mon Oct 19 13:29:41 UTC 2015],10.62.98.244,pressurer-4q39x,pressurer
[Mon Oct 19 13:29:41 UTC 2015],10.62.98.244,pxc-node3,pxc-node3
[Mon Oct 19 13:29:42 UTC 2015],10.62.98.253,pressurer-rgij3,pressurer
[Mon Oct 19 13:29:42 UTC 2015],10.62.98.253,pxc-node2,pxc-node2
[Mon Oct 19 13:29:51 UTC 2015],10.62.98.253,pressurer-rgij3,pressurer
[Mon Oct 19 13:29:51 UTC 2015],10.62.98.253,pxc-node2,pxc-node2
[Mon Oct 19 13:29:51 UTC 2015],10.62.98.250,pressurer-pub1y,pressurer
[Mon Oct 19 13:29:51 UTC 2015],10.62.98.250,pxc-node1,pxc-node1
