time,levle,msg
2015-10-19 13:25:03,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-19 13:25:03,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-19 13:25:08,[Warning],"InnoDB: New log files created, LSN=45781"
2015-10-19 13:25:09,[Warning],"InnoDB: Creating foreign key constraint system tables."
2015-10-19 13:25:26,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-19 13:25:26,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-19 13:25:30,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-19 13:25:30,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-19 13:25:30,[Warning],"WSREP: Could not open state file for reading: '/var/lib/mysql//grastate.dat'"
2015-10-19 13:25:30,[Warning],"WSREP: access file(/var/lib/mysql//gvwstate.dat) failed(No such file or directory)"
2015-10-19 13:25:31,[Warning],"WSREP: Gap in state sequence. Need state transfer."
2015-10-19 13:25:33,[Warning],"WSREP: Failed to prepare for incremental state transfer: Local state UUID (00000000-0000-0000-0000-000000000000) does not match group state UUID (bb8c2440-7664-11e5-afb9-6b14a7b805ea): 1 (Operation not permitted)"
2015-10-19 13:25:35,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:36,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:37,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:38,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:39,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:40,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:41,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:42,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:43,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:44,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:45,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:46,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:47,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:48,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:25:49,[Warning],"WSREP: Member 2.0 (pxc-node2) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-19 13:26:03,[Warning],"Using unique option prefix myisam-recover instead of myisam-recover-options is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-19 13:26:03,[Warning],"No existing UUID has been found, so we assume that this is the first time that this server has been started. Generating a new UUID: f208b001-7664-11e5-890a-0242ac111211."
2015-10-19 13:26:03,[ERROR],"mysqld: Table './mysql/user' is marked as crashed and should be repaired"
2015-10-19 13:26:03,[Warning],"Checking table:   './mysql/user'"
2015-10-19 13:26:03,[ERROR],"1 client is using or hasn't closed the table properly"
2015-10-19 13:26:04,[Warning],"IP address '172.17.53.0' could not be resolved: Name or service not known"
2015-10-19 13:26:08,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:26:09,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-19 13:58:40,[Warning],"WSREP: Failed to report last committed 4124, -4 (Interrupted system call)"
2015-10-19 13:59:17,[Warning],"WSREP: Failed to report last committed 4251, -4 (Interrupted system call)"
2015-10-19 14:14:12,[Warning],"WSREP: Failed to report last committed 7164, -4 (Interrupted system call)"
2015-10-19 14:17:03,[Warning],"WSREP: Failed to report last committed 7764, -4 (Interrupted system call)"
2015-10-19 14:17:40,[Warning],"WSREP: Failed to report last committed 7872, -4 (Interrupted system call)"
2015-10-19 14:18:26,[Warning],"WSREP: Failed to report last committed 8022, -4 (Interrupted system call)"
2015-10-19 14:57:25,[Warning],"WSREP: Failed to report last committed 15751, -4 (Interrupted system call)"
2015-10-19 15:11:53,[Warning],"WSREP: Failed to report last committed 18462, -4 (Interrupted system call)"
2015-10-19 15:12:35,[Warning],"WSREP: Failed to report last committed 18569, -4 (Interrupted system call)"
2015-10-19 15:34:20,[Warning],"WSREP: Failed to report last committed 23025, -4 (Interrupted system call)"
2015-10-19 16:37:41,[Warning],"WSREP: Failed to report last committed 34789, -4 (Interrupted system call)"
2015-10-19 17:11:22,[Warning],"WSREP: Failed to report last committed 41202, -4 (Interrupted system call)"
2015-10-19 17:12:11,[Warning],"WSREP: Failed to report last committed 41342, -4 (Interrupted system call)"
2015-10-19 17:12:46,[Warning],"WSREP: Failed to report last committed 41447, -4 (Interrupted system call)"
2015-10-19 17:43:41,[Warning],"WSREP: Failed to report last committed 46789, -4 (Interrupted system call)"
2015-10-19 17:44:07,[Warning],"WSREP: Failed to report last committed 46851, -4 (Interrupted system call)"
2015-10-19 17:44:45,[Warning],"WSREP: Failed to report last committed 46956, -4 (Interrupted system call)"
2015-10-19 17:57:10,[Warning],"WSREP: Failed to report last committed 49349, -4 (Interrupted system call)"
2015-10-19 18:14:26,[Warning],"WSREP: Failed to report last committed 52811, -4 (Interrupted system call)"
2015-10-19 18:29:45,[Warning],"WSREP: Failed to report last committed 55868, -4 (Interrupted system call)"
2015-10-19 18:38:17,[Warning],"WSREP: Failed to report last committed 57595, -4 (Interrupted system call)"
2015-10-19 18:40:42,[Warning],"WSREP: Failed to report last committed 58053, -4 (Interrupted system call)"
2015-10-19 18:41:24,[Warning],"WSREP: Failed to report last committed 58166, -4 (Interrupted system call)"
2015-10-19 18:42:52,[Warning],"WSREP: Failed to report last committed 58426, -4 (Interrupted system call)"
2015-10-19 18:43:34,[Warning],"WSREP: Failed to report last committed 58543, -4 (Interrupted system call)"
2015-10-19 18:44:13,[Warning],"WSREP: Failed to report last committed 58672, -4 (Interrupted system call)"
2015-10-19 18:44:56,[Warning],"WSREP: Failed to report last committed 58801, -4 (Interrupted system call)"
2015-10-19 18:45:37,[Warning],"WSREP: Failed to report last committed 58926, -4 (Interrupted system call)"
2015-10-19 18:58:20,[Warning],"WSREP: Failed to report last committed 61467, -4 (Interrupted system call)"
2015-10-19 19:23:35,[Warning],"WSREP: Failed to report last committed 66173, -4 (Interrupted system call)"
2015-10-19 20:37:55,[Warning],"WSREP: Failed to report last committed 80111, -4 (Interrupted system call)"
2015-10-19 20:48:57,[Warning],"WSREP: Failed to report last committed 82200, -4 (Interrupted system call)"
2015-10-19 21:54:38,[Warning],"WSREP: Failed to report last committed 94034, -4 (Interrupted system call)"
2015-10-19 22:45:17,[Warning],"WSREP: Failed to report last committed 103955, -4 (Interrupted system call)"
2015-10-19 23:11:54,[Warning],"WSREP: Failed to report last committed 108968, -4 (Interrupted system call)"
2015-10-19 23:13:15,[Warning],"WSREP: Failed to report last committed 109175, -4 (Interrupted system call)"
2015-10-19 23:13:53,[Warning],"WSREP: Failed to report last committed 109277, -4 (Interrupted system call)"
2015-10-19 23:14:32,[Warning],"WSREP: Failed to report last committed 109388, -4 (Interrupted system call)"
2015-10-20 00:10:46,[Warning],"WSREP: Failed to report last committed 119752, -4 (Interrupted system call)"
2015-10-20 00:11:36,[Warning],"WSREP: Failed to report last committed 119877, -4 (Interrupted system call)"
2015-10-20 00:35:48,[Warning],"WSREP: Failed to report last committed 124736, -4 (Interrupted system call)"
2015-10-20 00:43:11,[Warning],"WSREP: Failed to report last committed 126080, -4 (Interrupted system call)"
2015-10-20 01:11:32,[Warning],"WSREP: Failed to report last committed 131396, -4 (Interrupted system call)"
2015-10-20 01:11:40,[Warning],"WSREP: Failed to report last committed 131421, -4 (Interrupted system call)"
2015-10-20 01:13:01,[Warning],"WSREP: Failed to report last committed 131644, -4 (Interrupted system call)"
2015-10-20 01:13:38,[Warning],"WSREP: Failed to report last committed 131747, -4 (Interrupted system call)"
2015-10-20 01:52:00,[Warning],"WSREP: Failed to report last committed 138377, -4 (Interrupted system call)"
